timestamp,T_amb,RH,v,G,T_sky,Q_net
2026-06-18 21:15:00,29.02,43.70000000000003,1.6709999999999994,4.800000000000399,-18.850000000000037,-57.71058689999998
2026-06-18 21:20:00,29.0,44.0,1.6289999999999996,3.600000000000398,-18.630000000000035,-57.970824049999976
2026-06-18 21:25:00,29.0,44.0,1.7189999999999994,2.700000000000398,-18.550000000000033,-59.14800529999998
2026-06-18 21:30:00,29.0,44.0,1.6409999999999996,2.4000000000003983,-18.490000000000034,-58.62546193333332
2026-06-18 21:35:00,29.0,44.0,1.6939999999999995,1.800000000000398,-18.450000000000035,-57.90479324999998
2026-06-18 21:40:00,28.97,44.0,1.6229999999999993,1.2000000000003979,-18.360000000000035,-58.80192851666665
2026-06-18 21:45:00,28.919999999999998,44.0,1.0109999999999997,1.2000000000003979,-18.180000000000035,-59.38227869999998
2026-06-18 21:50:00,28.9,44.0,0.9609999999999996,1.7000000000003979,-18.250000000000036,-58.94869913333332
2026-06-18 21:55:00,28.9,44.50000000000003,1.0459999999999996,1.800000000000398,-18.48,-59.14826099999999
2026-06-18 22:00:00,28.9,45.0,0.8709999999999996,1.6,-18.470000000000034,-60.54073843333332
2026-06-18 22:05:00,28.85,45.10000000000004,0.7129999999999996,1.300000000000398,-18.590000000000032,-59.51115356666665
2026-06-18 22:10:00,28.79,45.10000000000004,0.8649999999999995,1.4000000000003978,-18.850000000000033,-59.52423669999999
2026-06-18 22:15:00,28.79,45.0,1.2379999999999995,1.700000000000398,-19.010000000000034,-62.02339153333332
2026-06-18 22:20:00,28.8,45.0,1.1209999999999996,1.6,-18.990000000000034,-62.59586583333331
2026-06-18 22:25:00,28.8,45.30000000000003,0.8649999999999995,1.700000000000398,-19.050000000000033,-62.34929934999998
2026-06-18 22:30:00,28.77,45.80000000000003,0.8289999999999995,1.8,-19.210000000000033,-61.886225583333314
2026-06-18 22:35:00,28.729999999999997,46.0,0.8309999999999995,2.000000000000398,-19.27000000000003,-61.99365598333331
2026-06-18 22:40:00,28.72,46.0,1.0289999999999995,2.100000000000398,-19.250000000000036,-61.91962788333331
2026-06-18 22:45:00,28.71,46.0,0.8839999999999995,1.800000000000398,-19.06000000000003,-62.05170493333331
2026-06-18 22:50:00,28.689999999999998,46.400000000000034,0.6109999999999997,1.800000000000398,-18.830000000000034,-62.22290878333331
2026-06-18 22:55:00,28.64,46.900000000000034,0.7679999999999997,2.0,-18.690000000000033,-60.60052351666665
2026-06-18 23:00:00,28.560000000000002,47.50000000000003,0.7189999999999996,1.800000000000398,-18.330000000000034,-59.321249533333315
2026-06-18 23:05:00,28.490000000000002,48.0,0.48799999999999966,1.800000000000398,-17.980000000000032,-58.952485783333316
2026-06-18 23:10:00,28.43,48.0,0.7709999999999996,2.0,-18.080000000000034,-57.95907074999998
2026-06-18 23:15:00,28.4,48.0,1.2209999999999996,1.7000000000003979,-18.290000000000035,-57.11696033333332
2026-06-18 23:20:00,28.36,48.50000000000003,1.1519999999999997,1.3000000000003977,-18.220000000000034,-56.97491153333331
2026-06-18 23:25:00,28.29,49.50000000000003,1.0719999999999996,1.100000000000398,-18.040000000000035,-56.802210183333315
2026-06-18 23:30:00,28.23,50.50000000000003,1.2079999999999997,0.9000000000003979,-17.730000000000032,-56.59523383333332
2026-06-18 23:35:00,28.159999999999997,51.30000000000003,1.2009999999999996,0.9000000000003979,-17.290000000000035,-57.00907824999999
2026-06-18 23:40:00,28.1,51.900000000000034,1.1949999999999998,1.4000000000003978,-16.970000000000034,-56.529265899999984
2026-06-18 23:45:00,28.04,52.00000000000003,1.3509999999999998,1.700000000000398,-16.88000000000003,-56.43444873333331
2026-06-18 23:50:00,27.97,51.00000000000003,1.1739999999999997,1.4000000000003978,-17.45000000000003,-57.15539484999998
2026-06-18 23:55:00,27.88,50.10000000000004,0.8009999999999997,1.2,-18.030000000000037,-55.90405314999998
2026-06-19 00:00:00,27.79,50.0,0.8559999999999997,1.2,-18.060000000000034,-55.51346421666665
2026-06-19 00:05:00,27.73,50.0,0.8829999999999997,1.100000000000398,-18.000000000000036,-57.23475828333332
2026-06-19 00:10:00,27.669999999999998,50.30000000000003,0.9019999999999997,1.0,-17.870000000000033,-56.82626158333332
2026-06-19 00:15:00,27.619999999999997,51.30000000000003,1.2339999999999995,1.100000000000398,-17.650000000000034,-55.911428066666645
2026-06-19 00:20:00,27.6,52.10000000000004,1.3849999999999998,1.2,-17.610000000000035,-56.116732299999974
2026-06-19 00:25:00,27.6,52.10000000000004,1.3049999999999997,1.2,-16.860000000000035,-55.42209834999998
2026-06-19 00:30:00,27.560000000000002,52.20000000000003,1.5949999999999998,1.000000000000398,-16.860000000000035,-54.61080229999998
2026-06-19 00:35:00,27.509999999999998,52.50000000000003,1.4079999999999997,0.9000000000003979,-17.56000000000003,-54.28657051666664
2026-06-19 00:40:00,27.45,52.50000000000003,0.8629999999999998,0.9000000000003979,-17.080000000000034,-53.51324059999999
2026-06-19 00:45:00,27.369999999999997,52.20000000000003,0.8249999999999997,0.9000000000003979,-16.650000000000034,-52.78956221666665
2026-06-19 00:50:00,27.32,52.0,1.0789999999999995,1.0,-8.630000000000033,-49.25708323333332
2026-06-19 00:55:00,27.3,52.50000000000003,1.3319999999999996,1.100000000000398,2.1599999999999664,-43.709533416666645
2026-06-19 01:00:00,27.259999999999998,53.30000000000003,1.2489999999999997,1.100000000000398,1.6499999999999666,-42.70287614999998
2026-06-19 01:05:00,27.21,53.80000000000003,1.1029999999999998,0.9000000000003979,-4.940000000000033,-43.036666449999984
2026-06-19 01:10:00,27.169999999999998,54.50000000000003,1.1589999999999996,0.9000000000003979,-5.820000000000032,-42.30481069999999
2026-06-19 01:15:00,27.119999999999997,55.0,1.1229999999999996,0.9000000000003979,-2.6000000000000325,-44.538481549999986
