[Connect DataFile][2.1]
Date:	28/04/2026
Time:	12:14:33
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
001:36:00,000	-8,7	25,6	26,1	-8,7	0,0	0,0	0,0	0,950	0,000	5022,280	0,0	-8,6		13:50:33:668		
001:37:00,000	3,8	25,0	25,7	3,9	0,0	0,0	0,0	0,950	0,000	5022,546	0,0	4,0		13:51:33:668		
001:38:00,000	8,9	24,5	25,2	8,9	0,0	0,0	0,0	0,950	0,000	5022,435	0,0	8,9		13:52:33:668		
001:39:00,000	2,3	24,4	25,0	2,3	0,0	0,0	0,0	0,950	0,000	5022,355	0,0	2,4		13:53:33:668		
001:40:00,000	1,0	24,7	24,9	1,0	0,0	0,0	0,0	0,950	0,000	5021,463	0,0	1,1		13:54:33:668		
001:41:00,000	-3,9	25,7	25,2	-3,9	0,0	0,0	0,0	0,950	0,000	5022,430	0,0	-3,7		13:55:33:668		
001:42:00,000	8,9	26,2	25,8	8,9	0,0	0,0	0,0	0,950	0,000	5023,944	0,0	9,1		13:56:33:668		
001:43:00,000	7,0	26,3	26,0	7,0	0,0	0,0	0,0	0,950	0,000	5024,241	0,0	7,2		13:57:33:668		
001:44:00,000	-0,2	25,9	26,0	-0,2	0,0	0,0	0,0	0,950	0,000	5023,402	0,0	-0,2		13:58:33:668		
001:45:00,000	-25,5	26,1	26,0	-25,5	0,0	0,0	0,0	0,950	0,000	5025,509	0,0	-25,2		13:59:33:668		
001:46:00,000	-28,0	25,9	26,0	-28,0	0,0	0,0	0,0	0,950	0,000	5022,639	0,0	-28,1		14:00:33:668		
001:47:00,000	-28,4	25,8	26,0	-28,4	0,0	0,0	0,0	0,950	0,000	5023,731	0,0	-28,3		14:01:33:668		
001:48:00,000	-26,4	25,8	26,0	-26,4	0,0	0,0	0,0	0,950	0,000	5023,324	0,0	-26,2		14:02:33:668		
001:49:00,000	-26,7	25,9	26,0	-26,7	0,0	0,0	0,0	0,950	0,000	5022,491	0,0	-26,5		14:03:33:668		
001:50:00,000	-26,5	26,3	26,0	-26,5	0,0	0,0	0,0	0,950	0,000	5022,917	0,0	-26,3		14:04:33:668		
---------------------------------
End of File
