[Connect DataFile][2.1]
Date:	20/04/2026
Time:	11:19:49
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:58:00,000	-38,2	22,5	23,4	-38,2	0,0	0,0	0,0	0,950	0,000	5020,776	0,0	-38,2		12:17:49:473		
000:59:00,000	-19,7	22,5	23,3	-19,7	0,0	0,0	0,0	0,950	0,000	5019,898	0,0	-19,4		12:18:49:473		
001:00:00,000	-1,7	22,7	23,3	-1,7	0,0	0,0	0,0	0,950	0,000	5019,769	0,0	-1,6		12:19:49:473		
001:01:00,000	-1,2	23,3	23,3	-1,2	0,0	0,0	0,0	0,950	0,000	5020,769	0,0	-1,1		12:20:49:473		
001:02:00,000	-24,5	23,1	23,3	-24,6	0,0	0,0	0,0	0,950	0,000	5020,389	0,0	-24,4		12:21:49:473		
001:03:00,000	-39,3	22,5	23,1	-39,3	0,0	0,0	0,0	0,950	0,000	5019,556	0,0	-39,2		12:22:49:473		
001:04:00,000	-40,4	22,1	22,7	-40,4	0,0	0,0	0,0	0,950	0,000	5019,075	0,0	-40,1		12:23:49:473		
001:05:00,000	-34,4	22,4	22,7	-34,4	0,0	0,0	0,0	0,950	0,000	5018,602	0,0	-34,1		12:24:49:473		
001:06:00,000	-9,6	23,3	22,9	-9,6	0,0	0,0	0,0	0,950	0,000	5021,897	0,0	-9,4		12:25:49:473		
001:07:00,000	-0,7	24,9	23,9	-0,7	0,0	0,0	0,0	0,950	0,000	5028,324	0,0	-0,5		12:26:49:473		
001:08:00,000	-6,0	25,8	24,8	-6,0	0,0	0,0	0,0	0,950	0,000	5024,083	0,0	-5,8		12:27:49:473		
001:09:00,000	-7,4	26,3	25,5	-7,4	0,0	0,0	0,0	0,950	0,000	5022,981	0,0	-7,2		12:28:49:473		
001:10:00,000	-29,2	25,5	25,7	-29,2	0,0	0,0	0,0	0,950	0,000	5022,889	0,0	-29,0		12:29:49:473		
001:11:00,000	-25,7	24,3	25,0	-25,7	0,0	0,0	0,0	0,950	0,000	5020,953	0,0	-25,7		12:30:49:473		
001:12:00,000	-28,2	24,4	24,6	-28,2	0,0	0,0	0,0	0,950	0,000	5021,231	0,0	-28,0		12:31:49:473		
001:13:00,000	-35,3	24,9	24,6	-35,3	0,0	0,0	0,0	0,950	0,000	5021,676	0,0	-35,0		12:32:49:473		
001:14:00,000	-34,1	25,2	24,6	-34,1	0,0	0,0	0,0	0,950	0,000	5021,673	0,0	-34,0		12:33:49:473		
001:15:00,000	-33,8	25,4	24,7	-33,7	0,0	0,0	0,0	0,950	0,000	5022,046	0,0	-33,6		12:34:49:473		
001:16:00,000	-34,8	24,7	24,7	-34,8	0,0	0,0	0,0	0,950	0,000	5021,731	0,0	-34,6		12:35:49:473		
001:17:00,000	-37,0	23,8	24,1	-37,0	0,0	0,0	0,0	0,950	0,000	5021,269	0,0	-37,0		12:36:49:473		
001:18:00,000	-32,4	24,1	24,0	-32,4	0,0	0,0	0,0	0,950	0,000	5021,769	0,0	-32,3		12:37:49:473		
001:19:00,000	-29,5	24,3	24,0	-29,5	0,0	0,0	0,0	0,950	0,000	5021,299	0,0	-29,5		12:38:49:473		
001:20:00,000	5,4	25,0	24,2	5,4	0,0	0,0	0,0	0,950	0,000	5021,463	0,0	5,5		12:39:49:473		
001:21:00,000	9,9	25,7	24,7	9,9	0,0	0,0	0,0	0,950	0,000	5022,815	0,0	9,9		12:40:49:473		
001:22:00,000	10,0	26,4	25,5	10,0	0,0	0,0	0,0	0,950	0,000	5022,467	0,0	9,9		12:41:49:473		
