[Connect DataFile][2.1]
Date:	20/04/2026
Time:	16:59:18
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
001:21:00,000	-37,5	25,7	25,8	-37,4	0,0	0,0	0,0	0,950	0,000	5022,833	0,0	-37,1		18:20:18:736		
001:22:00,000	-37,8	25,7	25,8	-37,8	0,0	0,0	0,0	0,950	0,000	5023,734	0,0	-37,6		18:21:18:736		
001:23:00,000	-37,3	26,3	26,0	-37,3	0,0	0,0	0,0	0,950	0,000	5024,000	0,0	-37,1		18:22:18:736		
001:24:00,000	-37,7	26,4	26,1	-37,7	0,0	0,0	0,0	0,950	0,000	5023,815	0,0	-37,6		18:23:18:736		
001:25:00,000	-37,5	26,4	26,1	-37,5	0,0	0,0	0,0	0,950	0,000	5023,935	0,0	-37,3		18:24:18:736		
001:26:00,000	-36,4	26,3	26,2	-36,4	0,0	0,0	0,0	0,950	0,000	5023,936	0,0	-36,5		18:25:18:736		
001:27:00,000	-36,0	25,9	26,2	-36,0	0,0	0,0	0,0	0,950	0,000	5023,889	0,0	-36,0		18:26:18:736		
001:28:00,000	-30,4	26,1	26,2	-30,4	0,0	0,0	0,0	0,950	0,000	5025,213	0,0	-30,2		18:27:18:736		
001:29:00,000	-18,7	25,9	26,2	-18,7	0,0	0,0	0,0	0,950	0,000	5023,486	0,0	-18,5		18:28:18:736		
001:30:00,000	-4,0	25,8	26,2	-4,0	0,0	0,0	0,0	0,950	0,000	5022,574	0,0	-4,0		18:29:18:736		
001:31:00,000	-4,2	25,9	26,2	-4,2	0,0	0,0	0,0	0,950	0,000	5022,523	0,0	-4,1		18:30:18:736		
001:32:00,000	6,4	26,0	26,2	6,4	0,0	0,0	0,0	0,950	0,000	5023,102	0,0	6,4		18:31:18:736		
001:33:00,000	8,7	25,9	26,2	8,7	0,0	0,0	0,0	0,950	0,000	5024,194	0,0	8,8		18:32:18:736		
001:34:00,000	10,4	25,6	26,0	10,4	0,0	0,0	0,0	0,950	0,000	5023,565	0,0	10,5		18:33:18:736		
001:35:00,000	10,0	25,7	26,0	10,0	0,0	0,0	0,0	0,950	0,000	5023,248	0,0	10,1		18:34:18:736		
001:36:00,000	8,8	25,7	26,0	8,8	0,0	0,0	0,0	0,950	0,000	5022,769	0,0	9,0		18:35:18:736		
001:37:00,000	7,9	25,6	26,0	7,9	0,0	0,0	0,0	0,950	0,000	5023,259	0,0	8,0		18:36:18:736		
001:38:00,000	6,7	25,4	25,8	6,7	0,0	0,0	0,0	0,950	0,000	5023,605	0,0	6,7		18:37:18:736		
001:39:00,000	0,1	25,2	25,6	0,1	0,0	0,0	0,0	0,950	0,000	5022,426	0,0	0,2		18:38:18:736		
001:40:00,000	-27,3	25,2	25,6	-27,3	0,0	0,0	0,0	0,950	0,000	5022,833	0,0	-27,0		18:39:18:736		
001:41:00,000	-37,0	25,4	25,6	-37,0	0,0	0,0	0,0	0,950	0,000	5023,605	0,0	-36,9		18:40:18:736		
001:42:00,000	-36,8	25,7	25,6	-36,8	0,0	0,0	0,0	0,950	0,000	5022,926	0,0	-36,7		18:41:18:736		
001:43:00,000	-37,1	26,2	25,8	-37,1	0,0	0,0	0,0	0,950	0,000	5022,500	0,0	-36,6		18:42:18:736		
001:44:00,000	-37,9	26,4	26,1	-37,8	0,0	0,0	0,0	0,950	0,000	5025,321	0,0	-37,6		18:43:18:736		
001:45:00,000	-37,9	26,6	26,3	-37,9	0,0	0,0	0,0	0,950	0,000	5024,093	0,0	-37,5		18:44:18:736		
001:46:00,000	-37,1	26,9	26,6	-37,1	0,0	0,0	0,0	0,950	0,000	5025,037	0,0	-36,9		18:45:18:736		
001:47:00,000	-38,3	27,0	26,8	-38,3	0,0	0,0	0,0	0,950	0,000	5024,468	0,0	-37,8		18:46:18:736		
001:48:00,000	-38,7	26,7	26,8	-38,6	0,0	0,0	0,0	0,950	0,000	5024,806	0,0	-38,4		18:47:18:736		
001:49:00,000	-39,1	26,4	26,7	-39,2	0,0	0,0	0,0	0,950	0,000	5023,602	0,0	-38,8		18:48:18:736		
001:50:00,000	-38,7	26,3	26,6	-38,7	0,0	0,0	0,0	0,950	0,000	5024,046	0,0	-38,5		18:49:18:736		
001:51:00,000	-39,3	25,6	26,2	-39,3	0,0	0,0	0,0	0,950	0,000	5022,973	0,0	-39,0		18:50:18:736		
001:52:00,000	-39,2	25,3	25,8	-39,2	0,0	0,0	0,0	0,950	0,000	5022,796	0,0	-39,0		18:51:18:736		
001:53:00,000	-39,8	24,7	25,4	-39,8	0,0	0,0	0,0	0,950	0,000	5022,843	0,0	-39,5		18:52:18:736		
001:54:00,000	-39,7	24,2	24,8	-39,7	0,0	0,0	0,0	0,950	0,000	5021,862	0,0	-39,6		18:53:18:736		
001:55:00,000	-39,2	23,8	24,4	-39,1	0,0	0,0	0,0	0,950	0,000	5022,324	0,0	-39,0		18:54:18:736		
001:56:00,000	-38,4	24,1	24,3	-38,4	0,0	0,0	0,0	0,950	0,000	5021,404	0,0	-38,2		18:55:18:736		
001:57:00,000	-38,9	24,1	24,3	-38,9	0,0	0,0	0,0	0,950	0,000	5020,889	0,0	-38,7		18:56:18:736		
001:58:00,000	-39,7	23,7	24,3	-39,7	0,0	0,0	0,0	0,950	0,000	5021,972	0,0	-39,5		18:57:18:736		
001:59:00,000	-39,7	23,5	24,1	-39,6	0,0	0,0	0,0	0,950	0,000	5021,769	0,0	-39,5		18:58:18:736		
002:00:00,000	-39,3	23,7	24,1	-39,3	0,0	0,0	0,0	0,950	0,000	5021,110	0,0	-39,2		18:59:18:736		
002:01:00,000	-39,7	23,8	24,1	-39,7	0,0	0,0	0,0	0,950	0,000	5021,278	0,0	-39,5		19:00:18:736		
002:02:00,000	-39,5	23,8	24,1	-39,5	0,0	0,0	0,0	0,950	0,000	5021,472	0,0	-39,4		19:01:18:736		
002:03:00,000	-39,8	23,8	24,1	-39,8	0,0	0,0	0,0	0,950	0,000	5021,761	0,0	-39,5		19:02:18:736		
002:04:00,000	-39,1	23,8	24,1	-39,0	0,0	0,0	0,0	0,950	0,000	5021,121	0,0	-38,6		19:03:18:736		
002:05:00,000	-38,1	24,0	24,1	-38,1	0,0	0,0	0,0	0,950	0,000	5020,093	0,0	-37,9		19:04:18:736		
002:06:00,000	-37,4	24,3	24,1	-37,4	0,0	0,0	0,0	0,950	0,000	5021,731	0,0	-37,0		19:05:18:736		
002:07:00,000	-37,4	24,7	24,4	-37,4	0,0	0,0	0,0	0,950	0,000	5021,596	0,0	-37,2		19:06:18:736		
002:08:00,000	-38,1	24,7	24,5	-38,1	0,0	0,0	0,0	0,950	0,000	5022,019	0,0	-37,9		19:07:18:736		
002:09:00,000	-38,4	24,5	24,5	-38,4	0,0	0,0	0,0	0,950	0,000	5020,759	0,0	-38,3		19:08:18:736		
002:10:00,000	-38,6	24,5	24,5	-38,6	0,0	0,0	0,0	0,950	0,000	5021,750	0,0	-38,4		19:09:18:736		
002:11:00,000	-37,9	24,6	24,5	-37,9	0,0	0,0	0,0	0,950	0,000	5022,398	0,0	-37,8		19:10:18:736		
002:12:00,000	-36,8	24,6	24,5	-36,8	0,0	0,0	0,0	0,950	0,000	5021,899	0,0	-36,7		19:11:18:736		
002:13:00,000	-38,7	24,4	24,5	-38,7	0,0	0,0	0,0	0,950	0,000	5021,472	0,0	-38,5		19:12:18:736		
002:14:00,000	-39,4	24,0	24,5	-39,4	0,0	0,0	0,0	0,950	0,000	5020,935	0,0	-39,1		19:13:18:736		
002:15:00,000	-38,5	23,8	24,4	-38,5	0,0	0,0	0,0	0,950	0,000	5020,816	0,0	-38,2		19:14:18:736		
002:16:00,000	-38,1	23,9	24,4	-38,1	0,0	0,0	0,0	0,950	0,000	5020,722	0,0	-38,0		19:15:18:736		
002:17:00,000	-39,1	23,6	24,2	-39,0	0,0	0,0	0,0	0,950	0,000	5020,389	0,0	-38,8		19:16:18:736		
002:18:00,000	-39,3	23,3	23,9	-39,3	0,0	0,0	0,0	0,950	0,000	5021,542	0,0	-39,1		19:17:18:736		
002:19:00,000	-39,0	23,3	23,8	-39,0	0,0	0,0	0,0	0,950	0,000	5020,611	0,0	-38,7		19:18:18:736		
002:20:00,000	-39,3	23,3	23,8	-39,3	0,0	0,0	0,0	0,950	0,000	5019,972	0,0	-39,2		19:19:18:736		
002:21:00,000	-39,4	23,2	23,7	-39,4	0,0	0,0	0,0	0,950	0,000	5019,835	0,0	-39,2		19:20:18:736		
002:22:00,000	-39,1	23,3	23,7	-39,1	0,0	0,0	0,0	0,950	0,000	5021,121	0,0	-39,0		19:21:18:736		
002:23:00,000	-38,6	23,6	23,7	-38,6	0,0	0,0	0,0	0,950	0,000	5020,685	0,0	-38,4		19:22:18:736		
002:24:00,000	-37,9	23,6	23,7	-37,9	0,0	0,0	0,0	0,950	0,000	5020,523	0,0	-37,7		19:23:18:736		
002:25:00,000	-37,6	23,3	23,7	-37,6	0,0	0,0	0,0	0,950	0,000	5020,435	0,0	-37,4		19:24:18:736		
002:26:00,000	-37,4	22,7	23,4	-37,4	0,0	0,0	0,0	0,950	0,000	5019,843	0,0	-37,1		19:25:18:736		
002:27:00,000	-37,4	22,4	23,1	-37,4	0,0	0,0	0,0	0,950	0,000	5019,621	0,0	-37,3		19:26:18:736		
