[Connect DataFile][2.1]
Date:	22/04/2026
Time:	17:58:35
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
001:33:00,000	-42,0	17,0	17,6	-42,0	0,0	0,0	0,0	0,950	0,000	5010,278	0,0	-41,8		19:31:35:680		
001:34:00,000	-43,4	16,8	17,6	-43,4	0,0	0,0	0,0	0,950	0,000	5009,731	0,0	-43,3		19:32:35:680		
001:35:00,000	-40,8	16,6	17,4	-40,8	0,0	0,0	0,0	0,950	0,000	5010,944	0,0	-40,6		19:33:35:680		
001:36:00,000	-39,2	16,7	17,4	-39,2	0,0	0,0	0,0	0,950	0,000	5010,716	0,0	-39,1		19:34:35:680		
001:37:00,000	-38,7	16,8	17,4	-38,7	0,0	0,0	0,0	0,950	0,000	5010,185	0,0	-38,4		19:35:35:680		
001:38:00,000	-37,5	16,8	17,4	-37,5	0,0	0,0	0,0	0,950	0,000	5010,330	0,0	-37,3		19:36:35:680		
001:39:00,000	-42,6	16,6	17,4	-42,6	0,0	0,0	0,0	0,950	0,000	5010,028	0,0	-42,5		19:37:35:680		
001:40:00,000	-43,5	16,3	17,2	-43,5	0,0	0,0	0,0	0,950	0,000	5010,371	0,0	-43,3		19:38:35:680		
001:41:00,000	-40,6	16,0	16,9	-40,6	0,0	0,0	0,0	0,950	0,000	5010,056	0,0	-40,5		19:39:35:680		
001:42:00,000	-42,9	15,9	16,8	-42,9	0,0	0,0	0,0	0,950	0,000	5008,771	0,0	-42,8		19:40:35:680		
001:43:00,000	-41,5	15,7	16,6	-41,5	0,0	0,0	0,0	0,950	0,000	5009,694	0,0	-41,3		19:41:35:680		
001:44:00,000	-37,4	15,7	16,6	-37,4	0,0	0,0	0,0	0,950	0,000	5010,129	0,0	-37,2		19:42:35:680		
001:45:00,000	-42,8	15,5	16,5	-42,8	0,0	0,0	0,0	0,950	0,000	5009,385	0,0	-42,5		19:43:35:680		
001:46:00,000	-45,3	15,4	16,4	-45,3	0,0	0,0	0,0	0,950	0,000	5010,222	0,0	-45,0		19:44:35:680		
001:47:00,000	-45,8	15,4	16,4	-45,8	0,0	0,0	0,0	0,950	0,000	5009,843	0,0	-45,6		19:45:35:680		
001:48:00,000	-45,5	15,5	16,4	-45,5	0,0	0,0	0,0	0,950	0,000	5010,293	0,0	-45,6		19:46:35:680		
001:49:00,000	-44,0	15,4	16,4	-44,0	0,0	0,0	0,0	0,950	0,000	5009,231	0,0	-43,9		19:47:35:680		
001:50:00,000	-42,6	15,4	16,4	-42,6	0,0	0,0	0,0	0,950	0,000	5009,037	0,0	-42,5		19:48:35:680		
001:51:00,000	-40,0	15,2	16,3	-40,0	0,0	0,0	0,0	0,950	0,000	5009,404	0,0	-40,0		19:49:35:680		
001:52:00,000	-35,4	15,1	16,2	-35,5	0,0	0,0	0,0	0,950	0,000	5008,769	0,0	-35,3		19:50:35:680		
001:53:00,000	-39,4	15,1	16,1	-39,4	0,0	0,0	0,0	0,950	0,000	5009,343	0,0	-39,3		19:51:35:680		
001:54:00,000	-44,7	15,0	16,1	-44,7	0,0	0,0	0,0	0,950	0,000	5008,881	0,0	-44,7		19:52:35:680		
001:55:00,000	-45,8	15,0	16,0	-45,8	0,0	0,0	0,0	0,950	0,000	5008,991	0,0	-45,5		19:53:35:680		
001:56:00,000	-42,8	14,9	16,0	-42,7	0,0	0,0	0,0	0,950	0,000	5009,621	0,0	-42,5		19:54:35:680		
001:57:00,000	-40,1	14,9	15,9	-40,1	0,0	0,0	0,0	0,950	0,000	5009,670	0,0	-40,1		19:55:35:680		
001:58:00,000	-43,2	14,9	15,9	-43,2	0,0	0,0	0,0	0,950	0,000	5008,407	0,0	-43,1		19:56:35:680		
001:59:00,000	-44,1	14,9	15,9	-44,1	0,0	0,0	0,0	0,950	0,000	5008,083	0,0	-43,9		19:57:35:680		
002:00:00,000	-45,2	14,9	15,9	-45,2	0,0	0,0	0,0	0,950	0,000	5009,333	0,0	-45,2		19:58:35:680		
002:01:00,000	-44,1	14,8	15,9	-44,1	0,0	0,0	0,0	0,950	0,000	5009,504	0,0	-44,0		19:59:35:680		
002:02:00,000	-39,3	14,8	15,9	-39,3	0,0	0,0	0,0	0,950	0,000	5008,519	0,0	-39,3		20:00:35:680		
002:03:00,000	-43,3	14,8	15,9	-43,3	0,0	0,0	0,0	0,950	0,000	5008,852	0,0	-43,4		20:01:35:680		
002:04:00,000	-41,9	14,8	15,8	-41,9	0,0	0,0	0,0	0,950	0,000	5007,761	0,0	-42,0		20:02:35:680		
002:05:00,000	-43,0	14,7	15,8	-43,0	0,0	0,0	0,0	0,950	0,000	5007,926	0,0	-42,7		20:03:35:680		
002:06:00,000	-43,8	14,7	15,8	-43,8	0,0	0,0	0,0	0,950	0,000	5007,898	0,0	-43,6		20:04:35:680		
002:07:00,000	-45,2	14,7	15,7	-45,2	0,0	0,0	0,0	0,950	0,000	5009,560	0,0	-44,9		20:05:35:680		
002:08:00,000	-45,3	14,6	15,7	-45,3	0,0	0,0	0,0	0,950	0,000	5008,379	0,0	-45,1		20:06:35:680		
002:09:00,000	-43,0	14,6	15,7	-43,0	0,0	0,0	0,0	0,950	0,000	5011,315	0,0	-42,8		20:07:35:680		
002:10:00,000	-42,3	14,5	15,6	-42,3	0,0	0,0	0,0	0,950	0,000	5008,296	0,0	-42,3		20:08:35:680		
002:11:00,000	-46,0	14,5	15,6	-46,0	0,0	0,0	0,0	0,950	0,000	5009,083	0,0	-45,7		20:09:35:680		
002:12:00,000	-47,0	14,5	15,6	-47,0	0,0	0,0	0,0	0,950	0,000	5008,463	0,0	-47,0		20:10:35:680		
002:13:00,000	-45,0	14,5	15,6	-45,0	0,0	0,0	0,0	0,950	0,000	5007,741	0,0	-44,9		20:11:35:680		
002:14:00,000	-47,3	14,4	15,5	-47,3	0,0	0,0	0,0	0,950	0,000	5008,796	0,0	-47,5		20:12:35:680		
002:15:00,000	-48,5	14,4	15,5	-48,5	0,0	0,0	0,0	0,950	0,000	5007,806	0,0	-48,2		20:13:35:680		
002:16:00,000	-47,8	14,4	15,5	-47,8	0,0	0,0	0,0	0,950	0,000	5008,339	0,0	-47,7		20:14:35:680		
002:17:00,000	-47,9	14,4	15,5	-47,9	0,0	0,0	0,0	0,950	0,000	5008,694	0,0	-48,0		20:15:35:680		
002:18:00,000	-48,7	14,3	15,4	-48,7	0,0	0,0	0,0	0,950	0,000	5008,129	0,0	-48,5		20:16:35:680		
002:19:00,000	-49,0	14,3	15,4	-49,0	0,0	0,0	0,0	0,950	0,000	5007,139	0,0	-48,8		20:17:35:680		
002:20:00,000	-49,5	14,3	15,4	-49,5	0,0	0,0	0,0	0,950	0,000	5007,826	0,0	-49,5		20:18:35:680		
002:21:00,000	-49,4	14,3	15,4	-49,4	0,0	0,0	0,0	0,950	0,000	5007,602	0,0	-49,1		20:19:35:680		
002:22:00,000	-49,3	14,2	15,3	-49,3	0,0	0,0	0,0	0,950	0,000	5007,231	0,0	-48,9		20:20:35:680		
002:23:00,000	-48,1	14,2	15,3	-48,1	0,0	0,0	0,0	0,950	0,000	5007,963	0,0	-47,9		20:21:35:680		
002:24:00,000	-48,2	14,2	15,3	-48,2	0,0	0,0	0,0	0,950	0,000	5007,759	0,0	-48,0		20:22:35:680		
002:25:00,000	-49,2	14,2	15,3	-49,2	0,0	0,0	0,0	0,950	0,000	5007,844	0,0	-49,1		20:23:35:680		
002:26:00,000	-44,6	14,1	15,2	-44,6	0,0	0,0	0,0	0,950	0,000	5008,778	0,0	-44,5		20:24:35:680		
002:27:00,000	-42,8	14,1	15,2	-42,8	0,0	0,0	0,0	0,950	0,000	5008,734	0,0	-42,8		20:25:35:680		
002:28:00,000	-45,6	14,1	15,2	-45,6	0,0	0,0	0,0	0,950	0,000	5008,019	0,0	-45,4		20:26:35:680		
002:29:00,000	-46,2	14,1	15,2	-46,2	0,0	0,0	0,0	0,950	0,000	5008,296	0,0	-46,1		20:27:35:680		
002:30:00,000	-44,9	14,1	15,2	-44,9	0,0	0,0	0,0	0,950	0,000	5007,546	0,0	-44,8		20:28:35:680		
002:31:00,000	-45,7	14,1	15,2	-45,7	0,0	0,0	0,0	0,950	0,000	5008,102	0,0	-45,4		20:29:35:680		
002:32:00,000	-48,6	14,1	15,2	-48,6	0,0	0,0	0,0	0,950	0,000	5009,194	0,0	-48,6		20:30:35:680		
002:33:00,000	-49,4	14,1	15,2	-49,4	0,0	0,0	0,0	0,950	0,000	5007,395	0,0	-49,3		20:31:35:680		
002:34:00,000	-49,9	14,0	15,1	-49,9	0,0	0,0	0,0	0,950	0,000	5007,204	0,0	-49,9		20:32:35:680		
002:35:00,000	-49,9	14,0	15,1	-49,9	0,0	0,0	0,0	0,950	0,000	5007,472	0,0	-49,9		20:33:35:680		
002:36:00,000	-50,0	14,0	15,1	-50,0	0,0	0,0	0,0	0,950	0,000	5007,648	0,0	-49,9		20:34:35:680		
002:37:00,000	-50,0	14,0	15,1	-50,0	0,0	0,0	0,0	0,950	0,000	5007,667	0,0	-50,0		20:35:35:680		
002:38:00,000	-49,9	13,9	15,1	-49,9	0,0	0,0	0,0	0,950	0,000	5006,312	0,0	-49,9		20:36:35:680		
002:39:00,000	-49,9	13,9	15,0	-49,9	0,0	0,0	0,0	0,950	0,000	5006,889	0,0	-49,9		20:37:35:680		
002:40:00,000	-49,7	13,9	15,0	-49,7	0,0	0,0	0,0	0,950	0,000	5007,454	0,0	-49,6		20:38:35:680		
002:41:00,000	-49,9	13,9	15,0	-49,9	0,0	0,0	0,0	0,950	0,000	5007,296	0,0	-49,9		20:39:35:680		
002:42:00,000	-50,0	13,9	15,0	-50,0	0,0	0,0	0,0	0,950	0,000	5006,780	0,0	-50,0		20:40:35:680		
002:43:00,000	-50,0	13,9	15,0	-50,0	0,0	0,0	0,0	0,950	0,000	5007,176	0,0	-50,0		20:41:35:680		
002:44:00,000	-50,0	13,9	15,0	-50,0	0,0	0,0	0,0	0,950	0,000	5007,111	0,0	-50,0		20:42:35:680		
002:45:00,000	-48,7	13,9	15,0	-48,7	0,0	0,0	0,0	0,950	0,000	5006,889	0,0	-48,5		20:43:35:680		
002:46:00,000	-47,7	13,9	15,0	-47,7	0,0	0,0	0,0	0,950	0,000	5007,110	0,0	-47,5		20:44:35:680		
002:47:00,000	-49,9	13,9	15,0	-49,9	0,0	0,0	0,0	0,950	0,000	5007,813	0,0	-49,8		20:45:35:680		
002:48:00,000	-49,9	13,9	15,0	-49,9	0,0	0,0	0,0	0,950	0,000	5006,981	0,0	-49,9		20:46:35:680		
002:49:00,000	-49,9	13,9	15,0	-49,9	0,0	0,0	0,0	0,950	0,000	5006,907	0,0	-49,9		20:47:35:680		
002:50:00,000	-49,7	13,8	15,0	-49,7	0,0	0,0	0,0	0,950	0,000	5007,481	0,0	-49,5		20:48:35:680		
002:51:00,000	-47,0	13,8	14,9	-47,0	0,0	0,0	0,0	0,950	0,000	5007,605	0,0	-46,8		20:49:35:680		
002:52:00,000	-46,8	13,8	14,9	-46,8	0,0	0,0	0,0	0,950	0,000	5007,537	0,0	-46,7		20:50:35:680		
002:53:00,000	-48,1	13,7	14,9	-48,1	0,0	0,0	0,0	0,950	0,000	5007,009	0,0	-48,1		20:51:35:680		
002:54:00,000	-48,7	13,7	14,9	-48,7	0,0	0,0	0,0	0,950	0,000	5006,759	0,0	-48,5		20:52:35:680		
002:55:00,000	-49,3	13,7	14,8	-49,3	0,0	0,0	0,0	0,950	0,000	5006,472	0,0	-49,3		20:53:35:680		
002:56:00,000	-49,3	13,7	14,8	-49,2	0,0	0,0	0,0	0,950	0,000	5007,890	0,0	-49,0		20:54:35:680		
002:57:00,000	-48,8	13,7	14,8	-48,8	0,0	0,0	0,0	0,950	0,000	5008,306	0,0	-48,5		20:55:35:680		
002:58:00,000	-48,8	13,7	14,8	-48,8	0,0	0,0	0,0	0,950	0,000	5006,861	0,0	-48,5		20:56:35:680		
002:59:00,000	-49,6	13,7	14,8	-49,6	0,0	0,0	0,0	0,950	0,000	5006,593	0,0	-49,5		20:57:35:680		
003:00:00,000	-49,8	13,7	14,8	-49,8	0,0	0,0	0,0	0,950	0,000	5006,861	0,0	-49,8		20:58:35:680		
003:01:00,000	-50,0	13,7	14,8	-50,0	0,0	0,0	0,0	0,950	0,000	5007,184	0,0	-49,9		20:59:35:680		
003:02:00,000	-50,0	13,7	14,8	-50,0	0,0	0,0	0,0	0,950	0,000	5006,519	0,0	-50,0		21:00:35:680		
003:03:00,000	-50,0	13,6	14,8	-50,0	0,0	0,0	0,0	0,950	0,000	5006,688	0,0	-49,9		21:01:35:680		
003:04:00,000	-49,9	13,6	14,8	-49,9	0,0	0,0	0,0	0,950	0,000	5006,861	0,0	-49,9		21:02:35:680		
003:05:00,000	-49,9	13,6	14,8	-49,9	0,0	0,0	0,0	0,950	0,000	5007,231	0,0	-49,8		21:03:35:680		
003:06:00,000	-49,7	13,6	14,8	-49,7	0,0	0,0	0,0	0,950	0,000	5008,046	0,0	-49,6		21:04:35:680		
003:07:00,000	-49,1	13,6	14,7	-49,1	0,0	0,0	0,0	0,950	0,000	5007,713	0,0	-49,0		21:05:35:680		
003:08:00,000	-49,6	13,5	14,7	-49,6	0,0	0,0	0,0	0,950	0,000	5007,148	0,0	-49,5		21:06:35:680		
003:09:00,000	-49,9	13,5	14,7	-49,9	0,0	0,0	0,0	0,950	0,000	5006,734	0,0	-49,8		21:07:35:680		
003:10:00,000	-49,5	13,5	14,7	-49,5	0,0	0,0	0,0	0,950	0,000	5007,657	0,0	-49,4		21:08:35:680		
003:11:00,000	-49,8	13,5	14,7	-49,8	0,0	0,0	0,0	0,950	0,000	5006,907	0,0	-49,6		21:09:35:680		
003:12:00,000	-49,7	13,4	14,6	-49,7	0,0	0,0	0,0	0,950	0,000	5006,528	0,0	-49,7		21:10:35:680		
003:13:00,000	-48,7	13,4	14,6	-48,7	0,0	0,0	0,0	0,950	0,000	5010,019	0,0	-48,5		21:11:35:680		
003:14:00,000	-47,5	13,4	14,6	-47,5	0,0	0,0	0,0	0,950	0,000	5007,385	0,0	-47,2		21:12:35:680		
003:15:00,000	-47,9	13,4	14,6	-47,9	0,0	0,0	0,0	0,950	0,000	5007,102	0,0	-47,7		21:13:35:680		
